Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2016-02-18,1.590000033378601,1.7200000286102295,1.0800000429153442,1.3200000524520874,8800,0,0,,,,,,,,,,1.4800000190734863
2016-02-19,1.4500000476837158,1.4700000286102295,1.3799999952316284,1.4299999475479126,1300,0,0,0.08333325054910778,1.0833332505491078,,,,,,,,1.4600000381469729
2016-02-22,1.5299999713897705,1.5299999713897705,1.440000057220459,1.4700000286102295,700,0,0,0.02797208568497278,1.1136363410588475,,,,,,,,1.4500000476837158
2016-02-23,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.4700000286102295,0,0,0,0.0,1.1136363410588475,,,,,,,,1.4500000476837158
2016-02-24,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.4700000286102295,0,0,0,0.0,1.1136363410588475,,,,,,,,1.440000057220459
2016-02-25,1.2300000190734863,1.2999999523162842,1.149999976158142,1.2400000095367432,4000,0,0,-0.1564625949639834,0.9393939092905845,,,,,,,,1.399999976158142
2016-02-26,1.0800000429153442,1.4700000286102295,1.0800000429153442,1.309999942779541,4000,0,0,0.05645155863260798,0.9924241596400167,,,,,,,,1.4500000476837158
2016-02-29,1.2699999809265137,1.3700000047683716,1.2699999809265137,1.309999942779541,1200,0,0,0.0,0.9924241596400167,,,,,,,,1.2599999904632568
2016-03-01,1.309999942779541,1.309999942779541,1.309999942779541,1.309999942779541,0,0,0,0.0,0.9924241596400167,,,,1.4000000357627869,,,,1.3300000429153442
2016-03-02,1.409999966621399,1.409999966621399,1.3600000143051147,1.3600000143051147,1600,0,0,0.0381679951981404,1.0303030001996754,,,,1.3050000071525574,,,,1.399999976158142
2016-03-03,1.3600000143051147,1.3600000143051147,1.3600000143051147,1.3600000143051147,600,0,0,0.0,1.0303030001996754,,,,1.3050000071525574,,,,1.399999976158142
2016-03-04,1.3600000143051147,1.3600000143051147,1.3600000143051147,1.3600000143051147,0,0,0,0.0,1.0303030001996754,,,,1.2750000357627869,,,,1.4800000190734863
2016-03-07,1.4299999475479126,1.4299999475479126,1.2999999523162842,1.2999999523162842,800,0,0,-0.04411769217479555,0.9848484095900978,,,,1.2750000357627869,,,,1.4600000381469729
2016-03-08,1.4199999570846558,1.4199999570846558,1.3700000047683716,1.3700000047683716,400,0,0,0.05384619616898001,1.037878750249594,,,,1.2750000357627869,,,,1.5499999523162842
2016-03-09,1.3700000047683716,1.3700000047683716,1.3700000047683716,1.3700000047683716,0,0,0,0.0,1.037878750249594,,,,1.2750000357627869,,,,1.5700000524520874
2016-03-10,1.440000057220459,1.440000057220459,1.440000057220459,1.440000057220459,200,0,0,0.05109492861930498,1.0909090909090906,,,,1.3550000190734863,,,,1.7699999809265137
2016-03-11,1.5399999618530271,1.5399999618530271,1.5399999618530271,1.5399999618530271,200,0,0,0.06944437545758975,1.1666665914082794,,,,1.4199999570846558,,,,1.8200000524520876
2016-03-14,1.5399999618530271,1.5399999618530271,1.5399999618530271,1.5399999618530271,0,0,0,0.0,1.1666665914082794,,,,1.4199999570846558,,,,1.7999999523162842
2016-03-15,1.3300000429153442,1.5099999904632568,1.3300000429153442,1.4800000190734863,2700,0,0,-0.03896100276999037,1.1212120911087662,,,,1.4199999570846558,,,,1.850000023841858
2016-03-16,1.600000023841858,1.600000023841858,1.5499999523162842,1.559999942779541,88000,0,0,0.054054001807470664,1.1818180915081173,1.4004999935626983,1.5810883418864352,1.2199116452389613,1.449999988079071,,,,1.909999966621399
2016-03-17,1.5199999809265137,1.5299999713897705,1.4199999570846558,1.4199999570846558,7600,0,0,-0.08974358386541947,1.0757575004991886,1.4054999887943267,1.5823550222147964,1.228644955373857,1.449999988079071,,,,1.950000047683716
2016-03-18,1.5800000429153442,1.5800000429153442,1.440000057220459,1.4600000381469729,23400,0,0,0.028169072021973607,1.1060605910089285,1.4069999933242798,1.5851791021272554,1.2288208845213042,1.465000033378601,,,,1.950000047683716
2016-03-21,1.399999976158142,1.4700000286102295,1.3899999856948853,1.4500000476837158,2600,0,0,-0.006849308357518291,1.0984848409590093,1.4059999942779542,1.582960750927922,1.2290392376279864,1.465000033378601,,,,2.059999942779541
2016-03-22,1.4500000476837158,1.4900000095367432,1.440000057220459,1.440000057220459,25200,0,0,-0.00689654492027858,1.0909090909090904,1.4044999957084656,1.5797471748851863,1.229252816531745,1.465000033378601,,,,2.059999942779541
2016-03-23,1.399999976158142,1.4900000095367432,1.399999976158142,1.4900000095367432,3200,0,0,0.03472218772879487,1.1287878411586847,1.4054999947547913,1.5824693193418629,1.2285306701677197,1.465000033378601,,,,2.299999952316284
2016-03-24,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.4700000286102295,200,0,0,-0.013422805905036084,1.113636341058847,1.4169999957084656,1.5785131251959392,1.255486866220992,1.465000033378601,1.4000000357627869,,,2.0999999046325684
2016-03-28,1.4600000381469729,1.4800000190734863,1.4500000476837158,1.4800000190734863,3500,0,0,0.006802714468455484,1.121212091108766,1.4254999995231628,1.5813266595882902,1.2696733394580353,1.465000033378601,1.340000033378601,,,2.0899999141693115
2016-03-29,1.4600000381469729,1.4600000381469729,1.4600000381469729,1.4600000381469729,500,0,0,-0.0135135004518675,1.1060605910089283,1.4330000042915345,1.5799621773948513,1.2860378311882177,1.4950000047683716,1.340000033378601,,,2.0799999237060547
2016-03-30,1.4700000286102295,1.4800000190734863,1.4500000476837158,1.4500000476837158,39000,0,0,-0.006849308357518291,1.0984848409590091,1.4400000095367431,1.575643807004203,1.3043562120692833,1.4850000143051147,1.340000033378601,,,2.490000009536743
2016-03-31,1.4299999475479126,1.4800000190734863,1.4199999570846558,1.4500000476837158,6700,0,0,0.0,1.0984848409590091,1.4445000112056732,1.5750509959515506,1.3139490264597957,1.4850000143051147,1.340000033378601,,,2.3399999141693115
2016-04-01,1.409999966621399,1.440000057220459,1.409999966621399,1.440000057220459,1500,0,0,-0.00689654492027858,1.0909090909090902,1.4485000133514405,1.5731566212254984,1.3238434054773827,1.4399999976158142,1.340000033378601,,,2.3299999237060547
2016-04-04,1.3799999952316284,1.409999966621399,1.3799999952316284,1.399999976158142,700,0,0,-0.02777783296726144,1.0606060003993505,1.4505000114440918,1.570562899995938,1.3304371228922456,1.4350000023841858,1.340000033378601,,,2.3499999046325684
2016-04-05,1.4600000381469729,1.4600000381469729,1.4500000476837158,1.4500000476837158,1900,0,0,0.035714337412192876,1.0984848409590093,1.4580000162124633,1.5560206190240544,1.3599794134008723,1.4350000023841858,1.4350000023841858,,,2.4600000381469727
2016-04-06,1.440000057220459,1.5,1.2599999904632568,1.2599999904632568,4500,0,0,-0.13103451791189402,0.954545409390422,1.4525000154972076,1.5783832805036369,1.3266167504907784,1.3799999952316284,1.4300000071525574,,,2.5
2016-04-07,1.2599999904632568,1.340000033378601,1.2599999904632568,1.3300000429153442,1400,0,0,0.05555559760468798,1.0075757500499185,1.4505000174045564,1.5827436306708407,1.318256404138272,1.3799999952316284,1.4300000071525574,,,2.309999942779541
